simulationId,rounds,repeatAnyPair,repeatPairDifferentOpponents,repeatPairSameOpponents,repeatPairCount,repeatPairDifferentOpponentsCount,repeatPairSameOpponentsCount
1,10,true,true,false,11,11,0
2,10,true,true,false,9,9,0
3,10,true,true,false,14,14,0
4,10,true,true,false,8,8,0
5,10,true,true,false,17,17,0
6,10,true,true,true,12,11,1
7,10,true,true,false,6,6,0
8,10,true,true,false,11,11,0
9,10,true,true,false,7,7,0
10,10,true,true,false,13,13,0
11,10,true,true,false,14,14,0
12,10,true,true,false,9,9,0
13,10,true,true,false,9,9,0
14,10,true,true,false,13,13,0
15,10,true,true,false,13,13,0
16,10,true,true,false,10,10,0
17,10,true,true,false,13,13,0
18,10,true,true,false,12,12,0
19,10,true,true,false,13,13,0
20,10,true,true,false,10,10,0
21,10,true,true,false,13,13,0
22,10,true,true,false,11,11,0
23,10,true,true,false,12,12,0
24,10,true,true,false,9,9,0
25,10,true,true,false,12,12,0
26,10,true,true,false,13,13,0
27,10,true,true,false,8,8,0
28,10,true,true,false,13,13,0
29,10,true,true,false,13,13,0
30,10,true,true,false,12,12,0
31,10,true,true,false,12,12,0
32,10,true,true,false,11,11,0
33,10,true,true,false,13,13,0
34,10,true,true,false,12,12,0
35,10,true,true,false,12,12,0
36,10,true,true,false,10,10,0
37,10,true,true,false,9,9,0
38,10,true,true,false,14,14,0
39,10,true,true,false,9,9,0
40,10,true,true,false,13,13,0
41,10,true,true,false,7,7,0
42,10,true,true,false,9,9,0
43,10,true,true,false,16,16,0
44,10,true,true,false,9,9,0
45,10,true,true,false,11,11,0
46,10,true,true,false,12,12,0
47,10,true,true,false,12,12,0
48,10,true,true,false,8,8,0
49,10,true,true,false,10,10,0
50,10,true,true,false,14,14,0
1,10,true,true,false,6,6,0
2,10,true,true,false,7,7,0
3,10,true,true,false,9,9,0
4,10,true,true,false,7,7,0
5,10,true,true,false,7,7,0
6,10,true,true,false,10,10,0
7,10,true,true,false,13,13,0
8,10,true,true,false,7,7,0
9,10,true,true,false,9,9,0
10,10,true,true,false,9,9,0
11,10,true,true,false,13,13,0
12,10,true,true,false,8,8,0
13,10,true,true,false,7,7,0
14,10,true,true,false,13,13,0
15,10,true,true,false,4,4,0
16,10,true,true,false,13,13,0
17,10,true,true,false,10,10,0
18,10,true,true,false,11,11,0
19,10,true,true,false,8,8,0
20,10,true,true,false,5,5,0
21,10,true,true,false,6,6,0
22,10,true,true,false,11,11,0
23,10,true,true,false,7,7,0
24,10,true,true,false,12,12,0
25,10,true,true,false,13,13,0
26,10,true,true,false,6,6,0
27,10,true,true,false,8,8,0
28,10,true,true,false,11,11,0
29,10,true,true,false,9,9,0
30,10,true,true,false,8,8,0
31,10,true,true,false,6,6,0
32,10,true,true,false,5,5,0
33,10,true,true,false,11,11,0
34,10,true,true,false,11,11,0
35,10,true,true,false,13,13,0
36,10,true,true,false,9,9,0
37,10,true,true,false,8,8,0
38,10,true,true,false,13,13,0
39,10,true,true,false,8,8,0
40,10,true,true,false,16,16,0
41,10,true,true,false,12,12,0
42,10,true,true,false,14,14,0
43,10,true,true,false,11,11,0
44,10,true,true,false,7,7,0
45,10,true,true,false,14,14,0
46,10,true,true,false,10,10,0
47,10,true,true,false,8,8,0
48,10,true,true,false,13,13,0
49,10,true,true,false,9,9,0
50,10,true,true,false,9,9,0
1,10,true,true,false,12,12,0
2,10,true,true,false,8,8,0
3,10,true,true,false,10,10,0
4,10,true,true,false,8,8,0
5,10,true,true,false,5,5,0
6,10,true,true,false,10,10,0
7,10,true,true,false,8,8,0
8,10,true,true,false,10,10,0
9,10,true,true,false,12,12,0
10,10,true,true,false,8,8,0
11,10,true,true,false,6,6,0
12,10,true,true,false,8,8,0
13,10,true,true,false,8,8,0
14,10,true,true,false,7,7,0
15,10,true,true,false,15,15,0
16,10,true,true,false,9,9,0
17,10,true,true,false,8,8,0
18,10,true,true,false,12,12,0
19,10,true,true,false,12,12,0
20,10,true,true,false,9,9,0
21,10,true,true,false,9,9,0
22,10,true,true,false,5,5,0
23,10,true,true,false,9,9,0
24,10,true,true,false,10,10,0
25,10,true,true,false,9,9,0
26,10,true,true,false,11,11,0
27,10,true,true,false,7,7,0
28,10,true,true,false,9,9,0
29,10,true,true,false,4,4,0
30,10,true,true,false,10,10,0
31,10,true,true,false,9,9,0
32,10,true,true,false,7,7,0
33,10,true,true,false,4,4,0
34,10,true,true,false,7,7,0
35,10,true,true,false,6,6,0
36,10,true,true,false,8,8,0
37,10,true,true,false,6,6,0
38,10,true,true,false,10,10,0
39,10,true,true,false,6,6,0
40,10,true,true,false,6,6,0
41,10,true,true,false,8,8,0
42,10,true,true,false,13,13,0
43,10,true,true,false,4,4,0
44,10,true,true,false,6,6,0
45,10,true,true,false,5,5,0
46,10,true,true,false,10,10,0
47,10,true,true,false,9,9,0
48,10,true,true,false,8,8,0
49,10,true,true,false,10,10,0
50,10,true,true,false,13,13,0
1,10,true,true,false,6,6,0
2,10,true,true,false,8,8,0
3,10,true,true,false,8,8,0
4,10,true,true,false,5,5,0
5,10,true,true,false,3,3,0
6,10,true,true,false,8,8,0
7,10,true,true,false,9,9,0
8,10,true,true,false,5,5,0
9,10,true,true,false,3,3,0
10,10,true,true,false,4,4,0
11,10,true,true,false,7,7,0
12,10,true,true,false,5,5,0
13,10,true,true,false,4,4,0
14,10,true,true,false,9,9,0
15,10,true,true,false,6,6,0
16,10,true,true,false,5,5,0
17,10,true,true,false,5,5,0
18,10,true,true,false,9,9,0
19,10,true,true,false,7,7,0
20,10,true,true,false,3,3,0
21,10,true,true,false,4,4,0
22,10,true,true,false,7,7,0
23,10,true,true,false,10,10,0
24,10,true,true,false,6,6,0
25,10,true,true,false,8,8,0
26,10,true,true,false,7,7,0
27,10,true,true,false,6,6,0
28,10,true,true,false,8,8,0
29,10,true,true,false,6,6,0
30,10,true,true,false,8,8,0
31,10,true,true,false,8,8,0
32,10,true,true,false,6,6,0
33,10,true,true,false,7,7,0
34,10,true,true,false,7,7,0
35,10,true,true,false,5,5,0
36,10,true,true,false,7,7,0
37,10,true,true,false,2,2,0
38,10,true,true,false,6,6,0
39,10,true,true,false,6,6,0
40,10,true,true,false,9,9,0
41,10,true,true,false,4,4,0
42,10,true,true,false,8,8,0
43,10,true,true,false,2,2,0
44,10,true,true,false,11,11,0
45,10,true,true,false,5,5,0
46,10,true,true,false,8,8,0
47,10,true,true,false,12,12,0
48,10,true,true,false,9,9,0
49,10,true,true,false,6,6,0
50,10,true,true,false,3,3,0
1,10,true,true,false,8,8,0
2,10,true,true,false,5,5,0
3,10,true,true,false,8,8,0
4,10,true,true,false,10,10,0
5,10,true,true,false,7,7,0
6,10,true,true,false,5,5,0
7,10,true,true,false,5,5,0
8,10,true,true,false,4,4,0
9,10,true,true,false,8,8,0
10,10,true,true,false,3,3,0
11,10,true,true,false,7,7,0
12,10,true,true,true,9,8,1
13,10,true,true,false,7,7,0
14,10,true,true,false,8,8,0
15,10,true,true,false,12,12,0
16,10,true,true,false,7,7,0
17,10,true,true,false,5,5,0
18,10,true,true,false,6,6,0
19,10,true,true,false,8,8,0
20,10,true,true,false,5,5,0
21,10,true,true,false,7,7,0
22,10,true,true,false,5,5,0
23,10,true,true,false,5,5,0
24,10,true,true,false,10,10,0
25,10,true,true,false,12,12,0
26,10,true,true,false,8,8,0
27,10,true,true,false,3,3,0
28,10,true,true,false,2,2,0
29,10,true,true,false,6,6,0
30,10,true,true,false,4,4,0
31,10,true,true,false,6,6,0
